layer,nano_0,nano_1,agx_0,agx_1,agx_2,
trans,0.017065,0.011688,0.005456,0.006032,0.003955,
conv1,0.024032,0.034842,0.015943,0.022072,0.01572,
bn1,0.019635,0.029256,0.009998,0.008844,0.01019,
relu,0.004556,0.004134,0.004165,0.002051,0.004106,
maxpl,0.010041,0.01264,0.004245,0.003149,0.00421,
layer1,0.242337,0.331726,0.036091,0.12084,0.15865,
layer2,0.237263,0.332978,0.036661,0.140574,0.179773,
layer3,0.265371,0.375208,0.044118,0.172183,0.09212,
layer4,0.18786,0.266262,0.022036,0.094817,0.050396,
inner_3,0.008202,0.011485,0.00131,0.003937,0.002142,
layer_3,0.0049,0.006902,0.000936,0.003191,0.001791,
inner_2,0.009134,0.013603,0.001673,0.006671,0.003372,
inter_2,0.001598,0.002016,0.000252,0.000353,0.00022,
layer_2,0.015383,0.021586,0.002546,0.009137,0.004805,
inner_1,0.020694,0.029342,0.002783,0.012098,0.006418,
inter_1,0.003292,0.004427,0.0003,0.000876,0.000479,
layer_1,0.044723,0.061879,0.007414,0.028373,0.014505,
inner_0,0.044171,0.061895,0.005548,0.025603,0.013099,
inter_0,0.008042,0.011639,0.001003,0.002989,0.00159,
layer_0,0.154021,0.215281,0.027834,0.099983,0.050626,
extra,0.003366,0.003628,0.00017,0.000406,0.000337,
rpn_f0,0.196003,0.257156,0.036275,0.120449,0.066166,
rpn_f1,0.066722,0.085069,0.012347,0.039572,0.02458,
rpn_f2,0.02418,0.033471,0.005643,0.018476,0.013387,
rpn_f3,0.012974,0.018935,0.004454,0.011125,0.010363,
rpn_f4,0.012618,0.016309,0.004602,0.010758,0.010445,
rpn_mgr,0.018443,0.02698,0.004398,0.01095,0.009019,
roi_pol,0.132948,0.172158,0.014219,0.056826,0.031374,
fc6,0.147696,0.1893,0.027563,0.10049,0.070111,
fc7,0.01336,0.018494,0.001967,0.009052,0.003905,
cls_scr,0.002003,0.002868,0.000428,0.001455,0.000646,
bb_pred,0.005109,0.007388,0.000895,0.003476,0.001792,
detect,0.010162,0.016378,0.005748,0.011191,0.009775,