bandwidth,optimizer,energy,device,payload
2000,1.4448441720843732,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
2250,1.7358995283655645,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
2500,1.9687438133905175,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
2750,2.1592527738654894,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
3000,2.3180102409279613,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
3250,2.452343482288498,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
3500,2.5674862605975477,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
3750,2.6672766684653766,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
4000,2.754593275349734,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
4250,2.831637340247724,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
4500,2.900120953490344,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
4750,2.9588829696018024,0,5,{'layer_0': {'count': 1| 'size': 9.9638671875}| 'layer_3_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'Interpolation': {'count': 7| 'size': 109.6025390625}| 'layer_6_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_9_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
5000,2.973456893164041,0,5,{'Interpolation': {'count': 11| 'size': 109.6025390625}| 'layer_1_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_4_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_7_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_10_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
5250,3.066438299936749,0,5,{'Interpolation': {'count': 11| 'size': 109.6025390625}| 'layer_1_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_4_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_7_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_10_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
5500,3.1117975762403063,0,5,{'Interpolation': {'count': 11| 'size': 109.6025390625}| 'layer_1_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_4_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_7_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}| 'layer_10_add_mid_position_embedding': {'count': 1| 'size': 9.9638671875}}
