src,dst
input,Embedding
input,Interpolation
Embedding,layer_0
layer_0,layer_0_add_mid_position_embedding
Interpolation,layer_0_add_mid_position_embedding
layer_0_add_mid_position_embedding,layer_1
layer_1,layer_1_add_mid_position_embedding
Interpolation,layer_1_add_mid_position_embedding
layer_1_add_mid_position_embedding,layer_2
layer_2,layer_2_add_mid_position_embedding
Interpolation,layer_2_add_mid_position_embedding
layer_2_add_mid_position_embedding,layer_3
layer_3,layer_3_add_mid_position_embedding
Interpolation,layer_3_add_mid_position_embedding
layer_3_add_mid_position_embedding,layer_4
layer_4,layer_4_add_mid_position_embedding
Interpolation,layer_4_add_mid_position_embedding
layer_4_add_mid_position_embedding,layer_5
layer_5,layer_5_add_mid_position_embedding
Interpolation,layer_5_add_mid_position_embedding
layer_5_add_mid_position_embedding,layer_6
layer_6,layer_6_add_mid_position_embedding
Interpolation,layer_6_add_mid_position_embedding
layer_6_add_mid_position_embedding,layer_7
layer_7,layer_7_add_mid_position_embedding
Interpolation,layer_7_add_mid_position_embedding
layer_7_add_mid_position_embedding,layer_8
layer_8,layer_8_add_mid_position_embedding
Interpolation,layer_8_add_mid_position_embedding
layer_8_add_mid_position_embedding,layer_9
layer_9,layer_9_add_mid_position_embedding
Interpolation,layer_9_add_mid_position_embedding
layer_9_add_mid_position_embedding,layer_10
layer_10,layer_10_add_mid_position_embedding
Interpolation,layer_10_add_mid_position_embedding
layer_10_add_mid_position_embedding,layer_11
layer_11,Layer_Norm
Layer_Norm,Class_Labels_Classifier
Layer_Norm,Box_Predictor
Class_Labels_Classifier,output
Box_Predictor,output